"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Magner N.; Lavín J.F.; Valle M.A.","Magner, Nicolás (57191337102); Lavín, Jaime F. (57191333265); Valle, Mauricio A. (55100663900)","57191337102; 57191333265; 55100663900","Modeling Synchronization Risk among Sustainable Exchange Trade Funds: A Statistical and Network Analysis Approach","2022","Mathematics","10","19","3598","","","","3","10.3390/math10193598","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139752314&doi=10.3390%2fmath10193598&partnerID=40&md5=03ec5b711e92252ee80938ee1881f823","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85139752314"
"Tahmid T.; Hoque M.N.; Said J.; Saona P.; Azad M.A.K.","Tahmid, Tahani (57222389666); Hoque, Muhammad Nazmul (57226835564); Said, Jamaliah (35099398700); Saona, Paolo (36099519900); Azad, Md. Abul Kalam (56494514000)","57222389666; 57226835564; 35099398700; 36099519900; 56494514000","Does ESG initiatives yield greater firm value and performance? New evidence from European firms","2022","Cogent Business and Management","9","1","2144098","","","","17","10.1080/23311975.2022.2144098","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85142352926&doi=10.1080%2f23311975.2022.2144098&partnerID=40&md5=dbdc8f9f792fb186f55cd14b79bed014","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85142352926"
"Ogishima H.; Ito A.; Kajimura S.; Himichi T.","Ogishima, Hiroyoshi (57208757048); Ito, Ayahito (36657297600); Kajimura, Shogo (55743744400); Himichi, Toshiyuki (55220137200)","57208757048; 36657297600; 55743744400; 55220137200","Validity and reliability of the Japanese version of the sustainability consciousness questionnaire","2023","Frontiers in Psychology","14","","1130550","","","","2","10.3389/fpsyg.2023.1130550","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85151307673&doi=10.3389%2ffpsyg.2023.1130550&partnerID=40&md5=7d60fc48c12d9a7ceee4de716ca5d234","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85151307673"
"Sipilä J.; Alavi S.; Edinger-Schons L.M.; Dörfer S.; Schmitz C.","Sipilä, Jenni (57190621828); Alavi, Sascha (37113783700); Edinger-Schons, Laura Marie (55789971100); Dörfer, Sabrina (57222035670); Schmitz, Christian (23393961400)","57190621828; 37113783700; 55789971100; 57222035670; 23393961400","Corporate social responsibility in luxury contexts: potential pitfalls and how to overcome them","2021","Journal of the Academy of Marketing Science","49","2","","280","303","23","42","10.1007/s11747-020-00755-x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85101163943&doi=10.1007%2fs11747-020-00755-x&partnerID=40&md5=db9bcc49812cfe3f2c9d828beb5ad288","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85101163943"
"Guerreiro J.; Pacheco M.","Guerreiro, João (57201342913); Pacheco, Mariana (57226323122)","57201342913; 57226323122","How green trust, consumer brand engagement and green word-of-mouth mediate purchasing intentions","2021","Sustainability (Switzerland)","13","14","7877","","","","53","10.3390/su13147877","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85111108698&doi=10.3390%2fsu13147877&partnerID=40&md5=b437596b7caeeea263c116b1f3c9af69","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85111108698"
"Rousselière D.; Bouchard M.J.","Rousselière, Damien (35174874100); Bouchard, Marie J. (13205217600)","35174874100; 13205217600","The crowding out or crowding effects on the social economy public policies: A montreal empirical analysis; [Effets d'éviction ou de renforcement des politiques publiques á destination de l'économie sociale: Une analyse de Montréal]","2011","Revue Economique","62","5","","941","955","14","1","10.3917/reco.625.0941","https://www.scopus.com/inward/record.uri?eid=2-s2.0-80655139740&doi=10.3917%2freco.625.0941&partnerID=40&md5=52bb9b8d6fd2946d7f8902050e7f4d34","Article","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-80655139740"
"Wang T.; Malik S.; Wales W.J.","Wang, Taiyuan (55193717500); Malik, Sumeet (57203868326); Wales, William J. (37065384200)","55193717500; 57203868326; 37065384200","When entrepreneurial rhetoric meets strict regulations: Implications for the valuation of health science firms","2021","Strategic Entrepreneurship Journal","15","2","","209","230","21","12","10.1002/sej.1396","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102368688&doi=10.1002%2fsej.1396&partnerID=40&md5=5e261c401a3ce6bf007cae991d6b4449","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85102368688"
"García-Benau M.A.; Gambetta N.; Sierra-García L.","García-Benau, María Antonia (55363943900); Gambetta, Nicolás (56518284000); Sierra-García, Laura (55862217300)","55363943900; 56518284000; 55862217300","Financial risk management and sustainability","2021","Sustainability (Switzerland)","13","15","8300","","","","7","10.3390/su13158300","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85111437733&doi=10.3390%2fsu13158300&partnerID=40&md5=ffd046086a1de44813ff4817075d4ab4","Editorial","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85111437733"
"Christensen H.B.; Hail L.; Leuz C.","Christensen, Hans B. (23003573900); Hail, Luzi (14021009400); Leuz, Christian (6602397487)","23003573900; 14021009400; 6602397487","Mandatory CSR and sustainability reporting: economic analysis and literature review","2021","Review of Accounting Studies","26","3","","1176","1248","72","358","10.1007/s11142-021-09609-5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85111709261&doi=10.1007%2fs11142-021-09609-5&partnerID=40&md5=a453351f112b771005ec3985b5df22ed","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85111709261"
"Kolcava D.; Scholderer J.; Bernauer T.","Kolcava, Dennis (57209506683); Scholderer, Joachim (6603205472); Bernauer, Thomas (6602110388)","57209506683; 6603205472; 6602110388","Do citizens provide political rewards to firms engaging in voluntary environmental action?","2021","Journal of Cleaner Production","279","","123564","","","","10","10.1016/j.jclepro.2020.123564","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090922265&doi=10.1016%2fj.jclepro.2020.123564&partnerID=40&md5=95e3a3143f3a2b83d14fa23dd1cf8ea4","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85090922265"
"Liang H.; Renneboog L.","Liang, Hao (56623723900); Renneboog, Luc (6506269193)","56623723900; 6506269193","Corporate donations and shareholder value","2017","Oxford Review of Economic Policy","33","2","","278","316","38","63","10.1093/oxrep/grx024","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85027302117&doi=10.1093%2foxrep%2fgrx024&partnerID=40&md5=a1071828c80139213039f89135fd5942","Article","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-85027302117"
"Tanaka H.","Tanaka, Hiroshige (56141332800)","56141332800","Sustainability of global communities and regional risk governance","2017","Asia-Pacific Journal of Regional Science","1","2","","639","653","14","4","10.1007/s41685-017-0057-x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100642329&doi=10.1007%2fs41685-017-0057-x&partnerID=40&md5=378f54d49c8622907c7e76c1e0a3cd1d","Article","Final","","Scopus","2-s2.0-85100642329"
"Li J.; Wu D.","Li, Jun (56370104500); Wu, Di (57219013063)","56370104500; 57219013063","Do corporate social responsibility engagements lead to real environmental, social, and governance impact?","2020","Management Science","66","6","","2564","2588","24","101","10.1287/mnsc.2019.3324","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85087873525&doi=10.1287%2fmnsc.2019.3324&partnerID=40&md5=6075c1bb6984945ce5c8a7f2555ee3da","Article","Final","","Scopus","2-s2.0-85087873525"
"Mitchell S.","Mitchell, Sarah (57295013200)","57295013200","Charity management: Leadership, evolution, and change","2021","Charity Management: Leadership, Evolution, and Change","","","","1","160","159","1","10.4324/9781003139089","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85117023186&doi=10.4324%2f9781003139089&partnerID=40&md5=3b07c03da16e17d53f6c923cdbdf4fea","Book","Final","","Scopus","2-s2.0-85117023186"
"Borzaga C.; Tortia E.","Borzaga, Carlo (55933100300); Tortia, Ermanno (24759626500)","55933100300; 24759626500","The economics of social responsibility: The world of social enterprises","2010","The Economics of Social Responsibility: The World of Social Enterprises","","","","1","258","257","26","10.4324/9780203851029","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84917124358&doi=10.4324%2f9780203851029&partnerID=40&md5=2ad7a51118d986d6d704a3174c749019","Book","Final","","Scopus","2-s2.0-84917124358"
"Freundt J.; Lange A.","Freundt, Jana (57195241083); Lange, Andreas (9632467900)","57195241083; 9632467900","On the voluntary provision of public goods under risk","2021","Journal of Behavioral and Experimental Economics ","93","","101727","","","","5","10.1016/j.socec.2021.101727","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85107953237&doi=10.1016%2fj.socec.2021.101727&partnerID=40&md5=f34cd477754fac9903a489b2d75e4af5","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85107953237"
