"COU","Country","POL","Pollutant","VAR","Variable","YEA","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"OECDE","OECD - Europe","GHG","Greenhouse gases","GHG_GDP_LULU","Total GHG incl. LULUCF per unit of GDP","2011","2011","KG_1000USD","Kilograms per 1 000 US dollars","3","Thousands",,,0.22,,
"OECDE","OECD - Europe","GHG","Greenhouse gases","GHG_GDP_LULU","Total GHG incl. LULUCF per unit of GDP","2012","2012","KG_1000USD","Kilograms per 1 000 US dollars","3","Thousands",,,0.219,,
"OECDE","OECD - Europe","GHG","Greenhouse gases","GHG_GDP_LULU","Total GHG incl. LULUCF per unit of GDP","2013","2013","KG_1000USD","Kilograms per 1 000 US dollars","3","Thousands",,,0.213,,
"OECDE","OECD - Europe","GHG","Greenhouse gases","GHG_GDP_LULU","Total GHG incl. LULUCF per unit of GDP","2014","2014","KG_1000USD","Kilograms per 1 000 US dollars","3","Thousands",,,0.202,,
"OECDE","OECD - Europe","GHG","Greenhouse gases","GHG_GDP_LULU","Total GHG incl. LULUCF per unit of GDP","2015","2015","KG_1000USD","Kilograms per 1 000 US dollars","3","Thousands",,,0.199,,
"OECDE","OECD - Europe","GHG","Greenhouse gases","GHG_GDP_LULU","Total GHG incl. LULUCF per unit of GDP","2016","2016","KG_1000USD","Kilograms per 1 000 US dollars","3","Thousands",,,0.195,,
"OECDE","OECD - Europe","GHG","Greenhouse gases","GHG_GDP_LULU","Total GHG incl. LULUCF per unit of GDP","2017","2017","KG_1000USD","Kilograms per 1 000 US dollars","3","Thousands",,,0.193,,
"OECDE","OECD - Europe","GHG","Greenhouse gases","GHG_GDP_LULU","Total GHG incl. LULUCF per unit of GDP","2018","2018","KG_1000USD","Kilograms per 1 000 US dollars","3","Thousands",,,0.185,,
"OECDE","OECD - Europe","GHG","Greenhouse gases","GHG_GDP_LULU","Total GHG incl. LULUCF per unit of GDP","2019","2019","KG_1000USD","Kilograms per 1 000 US dollars","3","Thousands",,,0.175,,
"OECDE","OECD - Europe","GHG","Greenhouse gases","GHG_GDP_LULU","Total GHG incl. LULUCF per unit of GDP","2020","2020","KG_1000USD","Kilograms per 1 000 US dollars","3","Thousands",,,0.172,,
"OECDE","OECD - Europe","GHG","Greenhouse gases","GHG_GDP_LULU","Total GHG incl. LULUCF per unit of GDP","2021","2021","KG_1000USD","Kilograms per 1 000 US dollars","3","Thousands",,,0.172,,
"OECD","OECD - Total","GHG","Greenhouse gases","GHG_CAP_LULU","Total GHG incl. LULUCF per capita","1990","1990","KG_HAB","Kilograms per capita","3","Thousands",,,13.019,,
"OECD","OECD - Total","GHG","Greenhouse gases","GHG_CAP_LULU","Total GHG incl. LULUCF per capita","1991","1991","KG_HAB","Kilograms per capita","3","Thousands",,,12.721,,
"OECD","OECD - Total","GHG","Greenhouse gases","GHG_CAP_LULU","Total GHG incl. LULUCF per capita","1992","1992","KG_HAB","Kilograms per capita","3","Thousands",,,12.603,,
