"COU","Country","POL","Pollutant","VAR","Variable","YEA","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"EU28","European Union (28 countries)","GHG","Greenhouse gases","ENER_MANUF_P","1A2 - Manufacturing industries and construction (%)","2019","2019","PC","Percentage","0","Units",,,11.974,,
"TUR","Türkiye","CH4","Methane","INDEX_1990","Total GHG excl. LULUCF, Index 1990=100","1990","1990","IDX","Index","0","Units",,,100,,
"TUR","Türkiye","CH4","Methane","INDEX_1990","Total GHG excl. LULUCF, Index 1990=100","1991","1991","IDX","Index","0","Units",,,102.095,,
"TUR","Türkiye","CH4","Methane","INDEX_1990","Total GHG excl. LULUCF, Index 1990=100","1992","1992","IDX","Index","0","Units",,,101.885,,
"TUR","Türkiye","CH4","Methane","INDEX_1990","Total GHG excl. LULUCF, Index 1990=100","1993","1993","IDX","Index","0","Units",,,101.36,,
"TUR","Türkiye","CH4","Methane","INDEX_1990","Total GHG excl. LULUCF, Index 1990=100","1994","1994","IDX","Index","0","Units",,,100.707,,
"TUR","Türkiye","CH4","Methane","INDEX_1990","Total GHG excl. LULUCF, Index 1990=100","1995","1995","IDX","Index","0","Units",,,100.296,,
"TUR","Türkiye","CH4","Methane","INDEX_1990","Total GHG excl. LULUCF, Index 1990=100","1996","1996","IDX","Index","0","Units",,,101.133,,
"TUR","Türkiye","CH4","Methane","INDEX_1990","Total GHG excl. LULUCF, Index 1990=100","1997","1997","IDX","Index","0","Units",,,99.397,,
"TUR","Türkiye","CH4","Methane","INDEX_1990","Total GHG excl. LULUCF, Index 1990=100","1998","1998","IDX","Index","0","Units",,,99.845,,
"TUR","Türkiye","CH4","Methane","INDEX_1990","Total GHG excl. LULUCF, Index 1990=100","1999","1999","IDX","Index","0","Units",,,103.064,,
"TUR","Türkiye","CH4","Methane","INDEX_1990","Total GHG excl. LULUCF, Index 1990=100","2000","2000","IDX","Index","0","Units",,,102.777,,
"TUR","Türkiye","CH4","Methane","INDEX_1990","Total GHG excl. LULUCF, Index 1990=100","2001","2001","IDX","Index","0","Units",,,100.977,,
"TUR","Türkiye","CH4","Methane","INDEX_1990","Total GHG excl. LULUCF, Index 1990=100","2002","2002","IDX","Index","0","Units",,,96.396,,
"TUR","Türkiye","CH4","Methane","INDEX_1990","Total GHG excl. LULUCF, Index 1990=100","2003","2003","IDX","Index","0","Units",,,101.107,,
"TUR","Türkiye","CH4","Methane","INDEX_1990","Total GHG excl. LULUCF, Index 1990=100","2004","2004","IDX","Index","0","Units",,,102.386,,
"TUR","Türkiye","CH4","Methane","INDEX_1990","Total GHG excl. LULUCF, Index 1990=100","2005","2005","IDX","Index","0","Units",,,106.318,,
"TUR","Türkiye","CH4","Methane","INDEX_1990","Total GHG excl. LULUCF, Index 1990=100","2006","2006","IDX","Index","0","Units",,,109.703,,
"TUR","Türkiye","CH4","Methane","INDEX_1990","Total GHG excl. LULUCF, Index 1990=100","2007","2007","IDX","Index","0","Units",,,115.539,,
"TUR","Türkiye","CH4","Methane","INDEX_1990","Total GHG excl. LULUCF, Index 1990=100","2008","2008","IDX","Index","0","Units",,,118.055,,
"TUR","Türkiye","CH4","Methane","INDEX_1990","Total GHG excl. LULUCF, Index 1990=100","2009","2009","IDX","Index","0","Units",,,117.413,,
"TUR","Türkiye","CH4","Methane","INDEX_1990","Total GHG excl. LULUCF, Index 1990=100","2010","2010","IDX","Index","0","Units",,,121.554,,
"TUR","Türkiye","CH4","Methane","INDEX_1990","Total GHG excl. LULUCF, Index 1990=100","2011","2011","IDX","Index","0","Units",,,127.486,,
"TUR","Türkiye","CH4","Methane","INDEX_1990","Total GHG excl. LULUCF, Index 1990=100","2012","2012","IDX","Index","0","Units",,,136.111,,
"TUR","Türkiye","CH4","Methane","INDEX_1990","Total GHG excl. LULUCF, Index 1990=100","2013","2013","IDX","Index","0","Units",,,133.364,,
"TUR","Türkiye","CH4","Methane","INDEX_1990","Total GHG excl. LULUCF, Index 1990=100","2014","2014","IDX","Index","0","Units",,,137.794,,
"TUR","Türkiye","CH4","Methane","INDEX_1990","Total GHG excl. LULUCF, Index 1990=100","2015","2015","IDX","Index","0","Units",,,124.236,,
"TUR","Türkiye","CH4","Methane","INDEX_1990","Total GHG excl. LULUCF, Index 1990=100","2016","2016","IDX","Index","0","Units",,,130.82,,
"TUR","Türkiye","CH4","Methane","INDEX_1990","Total GHG excl. LULUCF, Index 1990=100","2017","2017","IDX","Index","0","Units",,,133.727,,
"TUR","Türkiye","CH4","Methane","INDEX_1990","Total GHG excl. LULUCF, Index 1990=100","2018","2018","IDX","Index","0","Units",,,142.181,,
"TUR","Türkiye","CH4","Methane","INDEX_1990","Total GHG excl. LULUCF, Index 1990=100","2019","2019","IDX","Index","0","Units",,,148.788,,
